age,job,marital,education,children,mortgage,empvarrate,conspriceidx,consconfidx,euribor3m,nremployed,y
56,housemaid,married,basic.4y,3,no,1.1,93.994,-36.4,4.857,5191,no
57,services,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
37,services,married,high.school,5,yes,1.1,93.994,-36.4,4.857,5191,no
40,admin.,married,basic.6y,2,no,1.1,93.994,-36.4,4.857,5191,no
56,services,married,high.school,2,no,1.1,93.994,-36.4,4.857,5191,no
45,services,married,basic.9y,3,no,1.1,93.994,-36.4,4.857,5191,no
59,admin.,married,professional.course,2,no,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,unknown,3,no,1.1,93.994,-36.4,4.857,5191,no
24,technician,single,professional.course,1,yes,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
25,services,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
29,blue-collar,single,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
57,housemaid,divorced,basic.4y,4,yes,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic.6y,4,yes,1.1,93.994,-36.4,4.857,5191,no
54,retired,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,basic.6y,5,yes,1.1,93.994,-36.4,4.857,5191,no
46,blue-collar,married,basic.6y,5,yes,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,married,basic.9y,2,yes,1.1,93.994,-36.4,4.857,5191,no
39,management,single,basic.9y,1,no,1.1,93.994,-36.4,4.857,5191,no
30,unemployed,married,high.school,3,no,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,married,basic.4y,4,yes,1.1,93.994,-36.4,4.857,5191,no
55,retired,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
41,technician,single,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
37,admin.,married,high.school,3,yes,1.1,93.994,-36.4,4.857,5191,no
35,technician,married,university.degree,1,no,1.1,93.994,-36.4,4.857,5191,yes
59,technician,married,unknown,2,yes,1.1,93.994,-36.4,4.857,5191,no
39,self-employed,married,basic.9y,1,no,1.1,93.994,-36.4,4.857,5191,no
54,technician,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
55,unknown,married,university.degree,0,unknown,1.1,93.994,-36.4,4.857,5191,no
46,admin.,married,unknown,1,no,1.1,93.994,-36.4,4.857,5191,no
59,technician,married,unknown,4,yes,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
54,management,married,basic.4y,1,yes,1.1,93.994,-36.4,4.857,5191,no
54,blue-collar,divorced,basic.4y,0,no,1.1,93.994,-36.4,4.857,5191,no
55,unknown,married,basic.4y,2,yes,1.1,93.994,-36.4,4.857,5191,no
34,services,married,high.school,2,no,1.1,93.994,-36.4,4.857,5191,no
52,technician,married,basic.9y,5,yes,1.1,93.994,-36.4,4.857,5191,no
41,admin.,married,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
56,technician,married,basic.4y,2,yes,1.1,93.994,-36.4,4.857,5191,no
58,management,unknown,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
32,entrepreneur,married,high.school,3,yes,1.1,93.994,-36.4,4.857,5191,no
38,admin.,single,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
57,admin.,married,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
44,admin.,married,university.degree,2,yes,1.1,93.994,-36.4,4.857,5191,no
42,technician,single,professional.course,2,no,1.1,93.994,-36.4,4.857,5191,no
57,admin.,married,university.degree,1,yes,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,basic.9y,3,no,1.1,93.994,-36.4,4.857,5191,no
35,admin.,married,university.degree,2,yes,1.1,93.994,-36.4,4.857,5191,no
45,blue-collar,married,basic.9y,1,yes,1.1,93.994,-36.4,4.857,5191,no
54,admin.,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
39,housemaid,married,basic.4y,0,no,1.1,93.994,-36.4,4.857,5191,no
60,admin.,married,high.school,2,no,1.1,93.994,-36.4,4.857,5191,no
53,admin.,single,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,married,basic.4y,4,no,1.1,93.994,-36.4,4.857,5191,no
55,technician,married,professional.course,5,yes,1.1,93.994,-36.4,4.857,5191,no
50,management,married,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,no
45,services,married,high.school,0,yes,1.1,93.994,-36.4,4.857,5191,no
55,unemployed,married,professional.course,5,yes,1.1,93.994,-36.4,4.857,5191,no
25,technician,single,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
47,entrepreneur,married,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,yes
51,blue-collar,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.6y,1,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.6y,2,no,1.1,93.994,-36.4,4.857,5191,no
48,admin.,married,high.school,5,no,1.1,93.994,-36.4,4.857,5191,no
37,admin.,married,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,yes
44,blue-collar,single,basic.9y,0,yes,1.1,93.994,-36.4,4.857,5191,no
33,admin.,married,unknown,4,yes,1.1,93.994,-36.4,4.857,5191,no
56,admin.,married,basic.9y,1,yes,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,single,basic.4y,0,yes,1.1,93.994,-36.4,4.857,5191,no
41,management,married,basic.6y,3,no,1.1,93.994,-36.4,4.857,5191,no
44,management,divorced,university.degree,2,yes,1.1,93.994,-36.4,4.857,5191,no
47,admin.,married,university.degree,5,yes,1.1,93.994,-36.4,4.857,5191,no
57,unknown,married,unknown,0,no,1.1,93.994,-36.4,4.857,5191,no
37,admin.,married,university.degree,3,yes,1.1,93.994,-36.4,4.857,5191,no
41,blue-collar,divorced,basic.4y,1,yes,1.1,93.994,-36.4,4.857,5191,yes
55,technician,married,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,no
33,services,married,high.school,4,yes,1.1,93.994,-36.4,4.857,5191,no
55,management,married,unknown,1,yes,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.9y,0,no,1.1,93.994,-36.4,4.857,5191,no
50,blue-collar,married,basic.4y,5,yes,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic.4y,1,unknown,1.1,93.994,-36.4,4.857,5191,no
38,admin.,married,high.school,1,no,1.1,93.994,-36.4,4.857,5191,no
49,entrepreneur,married,university.degree,4,yes,1.1,93.994,-36.4,4.857,5191,yes
38,technician,single,university.degree,0,no,1.1,93.994,-36.4,4.857,5191,no
31,admin.,divorced,high.school,2,no,1.1,93.994,-36.4,4.857,5191,no
41,management,married,basic.6y,1,no,1.1,93.994,-36.4,4.857,5191,no
39,admin.,married,university.degree,0,yes,1.1,93.994,-36.4,4.857,5191,no
49,technician,married,basic.9y,3,no,1.1,93.994,-36.4,4.857,5191,yes
34,admin.,married,high.school,4,yes,1.1,93.994,-36.4,4.857,5191,no
35,admin.,married,university.degree,3,yes,1.1,93.994,-36.4,4.857,5191,no
57,unknown,married,unknown,4,yes,1.1,93.994,-36.4,4.857,5191,no
60,admin.,married,unknown,1,no,1.1,93.994,-36.4,4.857,5191,no
33,unemployed,married,basic.9y,4,no,1.1,93.994,-36.4,4.857,5191,no
42,blue-collar,married,basic.6y,1,no,1.1,93.994,-36.4,4.857,5191,no
45,services,married,professional.course,5,yes,1.1,93.994,-36.4,4.857,5191,no
42,management,married,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
53,admin.,divorced,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
37,technician,single,professional.course,5,no,1.1,93.994,-36.4,4.857,5191,no
44,blue-collar,married,basic.6y,5,no,1.1,93.994,-36.4,4.857,5191,no
54,services,married,unknown,1,yes,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,married,basic.4y,2,no,1.1,93.994,-36.4,4.857,5191,no
54,services,married,unknown,5,no,1.1,93.994,-36.4,4.857,5191,no
52,admin.,divorced,university.degree,4,no,1.1,93.994,-36.4,4.857,5191,yes
52,admin.,divorced,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,yes
43,services,single,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
34,housemaid,married,basic.6y,1,yes,1.1,93.994,-36.4,4.857,5191,no
35,admin.,married,high.school,3,yes,1.1,93.994,-36.4,4.857,5191,no
42,entrepreneur,married,unknown,1,yes,1.1,93.994,-36.4,4.857,5191,no
43,technician,married,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
60,retired,divorced,university.degree,4,no,1.1,93.994,-36.4,4.857,5191,yes
58,unemployed,married,basic.4y,3,no,1.1,93.994,-36.4,4.857,5191,no
35,services,divorced,high.school,4,yes,1.1,93.994,-36.4,4.857,5191,no
55,blue-collar,married,basic.9y,3,yes,1.1,93.994,-36.4,4.857,5191,no
37,management,married,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,yes
36,blue-collar,married,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
52,admin.,divorced,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
57,blue-collar,divorced,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
56,admin.,married,unknown,1,yes,1.1,93.994,-36.4,4.857,5191,no
48,blue-collar,divorced,basic.4y,5,yes,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,high.school,2,yes,1.1,93.994,-36.4,4.857,5191,no
49,blue-collar,divorced,high.school,0,no,1.1,93.994,-36.4,4.857,5191,no
41,services,married,high.school,3,no,1.1,93.994,-36.4,4.857,5191,no
45,technician,married,high.school,1,yes,1.1,93.994,-36.4,4.857,5191,no
32,admin.,married,university.degree,2,yes,1.1,93.994,-36.4,4.857,5191,no
42,admin.,married,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
50,admin.,married,basic.6y,4,no,1.1,93.994,-36.4,4.857,5191,no
31,technician,divorced,professional.course,1,yes,1.1,93.994,-36.4,4.857,5191,no
56,retired,married,basic.4y,2,yes,1.1,93.994,-36.4,4.857,5191,no
41,technician,married,professional.course,2,yes,1.1,93.994,-36.4,4.857,5191,yes
37,blue-collar,married,basic.6y,0,yes,1.1,93.994,-36.4,4.857,5191,no
41,technician,married,professional.course,0,no,1.1,93.994,-36.4,4.857,5191,no
35,blue-collar,married,unknown,0,yes,1.1,93.994,-36.4,4.857,5191,no
37,blue-collar,married,basic.6y,1,yes,1.1,93.994,-36.4,4.857,5191,no
52,management,married,university.degree,2,no,1.1,93.994,-36.4,4.857,5191,yes
39,management,divorced,university.degree,5,no,1.1,93.994,-36.4,4.857,5191,yes
39,housemaid,married,basic.4y,1,no,1.1,93.994,-36.4,4.857,5191,no
56,blue-collar,married,basic.4y,0,no,1.1,93.994,-36.4,4.857,5191,no
